company,open_date,listing_date,bse_list,nse_list,bse,nse,issue_amt,issue_price,qib,nii,rii,total,listing_price_am,listing_price_pm,list_gain_pm,mp_val,mp_percentage,52_wk_high,52_wk_high_date,52_wk_low,52_wk_low_date,assets,revenue,pat,pre_pe,post_pe,roe,roce,ronw,net_worth,reserves,borrowing,pat_margin,pre_eps,post_eps,pb_value,ebitda
SBFC Finance IPO,2023-08-03,2023-08-16,1,1,543959,SBFC,1025,57,82,52.08,11.15,52.23,82,92.2,61.75,98.09,72.12,123,03/11/2025,79.66,18/02/2025,5746.44,740.36,149.74,40.42,,9.93%,,7.97%,1466.88,,3745.83,,1.25,,,
Concord Biotech IPO,2023-08-04,2023-08-18,1,1,543960,CONCORDBIO,1550.52,741,27.62,16.94,3.7,17.64,900.05,942.8,27.23,1228.9,65.86,2253.95,11/02/2025,1100,02/02/2026,1513.98,888.48,240.08,32.29,,20.06%,24.27%,20%,1290,,31.24,28.14,20.79,,,
TVS Supply Chain Solutions IPO,2023-08-10,2023-08-23,1,1,543965,TVSSCS,880,197,1.16,2.38,7.53,1.98,207.05,201,2.03,125.58,-36.28,156.25,13/02/2025,92.16,27/01/2026,6210.92,10311.01,41.76,189.42,,5.5%,7.64%,5.5%,723.55,774.19,1989.62,,1.04,,,
Pyramid Technoplast IPO,2023-08-18,2023-08-29,1,1,543969,PYRAMID,153.05,166,4.69,32.25,14.24,14.98,187,177.65,7.02,158.13,-3.86,190,17/06/2025,134.91,17/03/2025,225.78,482.03,31.76,16.21,,29.61%,21.37%,29.61%,107.25,75.97,55.34,6.62,10.24,,,
Aeroflex Industries IPO,2023-08-22,2023-08-31,1,1,543972,AEROFLEX,351,108,76.9,131.4,34.55,69.39,190,163.25,51.16,193.24,79.03,272,06/02/2025,148.01,07/04/2025,213.98,269.48,30.15,40.91,,26.43%,31.96%,26.43%,114.09,,45.01,11.19,2.64,,,
Vishnu Prakash R.Punglia IPO,2023-08-24,2023-09-05,1,1,543974,VPRPL,308.61,99,69.2,111.9,31.02,61.76,165,145.7,47.17,49.71,-49.81,195.8,11/02/2025,42.6,02/02/2026,825.48,1171.46,90.64,13.61,,,33.72%,38.31%,314.51,219.96,250.37,7.74,10.41,,,
Rishabh Instruments IPO,2023-08-30,2023-09-11,1,1,543977,RISHABH,490.78,441,29.51,31.39,8.16,22.32,460.05,443.15,0.49,439.3,-0.24,490,04/09/2025,201.5,04/03/2025,648.93,579.78,49.69,,33.69,12.39%,13.77%,11.67%,408.75,,102.85,8.57,12.84,,,
Ratnaveer Precision Engineering IPO,2023-09-04,2023-09-11,1,1,543978,RATNAVEER,165.03,98,53.61,134.18,52.84,65.42,123.2,129.35,31.99,152.04,55.26,177,30/05/2025,115.99,07/04/2025,389.05,481.14,25.04,,18.99,29.12%,12.62%,29.12%,106.05,71.16,229.99,5.21,7.26,,,
Jupiter Life Line Hospitals IPO,2023-09-06,2023-09-18,1,1,543980,JLHL,869.08,735,75.72,36.44,7.66,46.01,973,1075.75,46.36,1255.3,71.06,1770,25/03/2025,1198.8,05/02/2026,985.53,902.96,72.91,52.68,66.1,20.03%,20.94%,20.03%,363.91,,468.63,-0.47,13.95,,,
R R Kabel IPO,2023-09-13,2023-09-20,1,1,543981,RRKABEL,1964.01,1035,21.62,12.98,2.05,13.4,1180,1198.05,15.75,1428.2,38.08,1562.6,22/12/2025,853.55,18/03/2025,2633.62,5633.64,189.87,,39.26,14.22%,15.57%,13.66%,1390.47,914.15,515.84,3.37,17.09,,,
EMS IPO,2023-09-08,2023-09-21,1,1,543983,EMSLIMITED,321.25,211,60.31,83.76,29.28,52.97,282.05,279.9,32.65,351.1,66.52,714.9,12/02/2025,322.15,30/01/2026,638.72,543.28,108.67,,10.78,22.27%,28.26%,22.31%,487.83,443.45,45.4,20.18,23.15,,,
SAMHI Hotels IPO,2023-09-14,2023-09-22,1,1,543984,SAMHI,1370.1,126,4.32,1.26,1.11,3.54,134.5,143.4,13.81,166.76,32.46,254.5,22/07/2025,121.1,07/04/2025,2263,761.42,-338.59,,,,,,-871.43,-816.18,2787.54,,,,,
Zaggle Prepaid Ocean IPO,2023-09-14,2023-09-22,1,1,543985,ZAGGLE,563.38,164,7.45,9.13,5.94,7.55,164,158.35,-3.45,304.2,85.85,469.8,10/06/2025,265.8,27/01/2026,234.76,554.58,22.9,66.67,87.23,46.98%,,46.98%,48.75,39.36,121.07,4.14,2.46,,,
Sai Silks (Kalamandir) IPO,2023-09-20,2023-09-27,1,1,543989,KALAMANDIR,1201,222,5.51,2.56,0.87,3.45,231,244.9,10.32,114.22,-48.51,223.03,28/10/2025,106.55,02/02/2026,1220.45,1358.92,97.59,27.37,34.91,27.96%,23.55%,24.56%,397.33,373.27,345.5,7.22,8.11,,,
Signatureglobal IPO,2023-09-20,2023-09-27,1,1,543990,SIGNATURE,730,385,6.19,14.23,6.97,7.47,444,458.55,19.1,982.9,155.1,1309.5,12/06/2025,775.2,27/01/2026,5999.13,1585.88,-63.72,,,-134%,1%,,47.54,34.08,1709.75,,-5.44,,,
Yatra Online IPO,2023-09-15,2023-09-28,1,1,543992,YATRA,775,142,1.46,0.42,2.08,1.37,127.5,135.9,-4.3,166.25,17.15,202,17/11/2025,65.51,12/03/2025,681.25,397.47,7.63,205.8,289.8,18.1%,26%,4.5%,169.52,,153.07,,0.69,,,
Manoj Vaibhav Gems 'N' Jewellers IPO,2023-09-22,2023-10-03,1,1,543995,MVGJL,270.2,215,1.04,5.35,1.67,1.91,215,215.5,0.23,176.23,-17.98,280,09/06/2025,160.5,29/01/2026,1082.82,510.21,19.24,11.74,,23.19%,17.71%,20.78%,363.65,324.57,460.39,3.53,18.32,,,
JSW Infrastructure IPO,2023-09-25,2023-10-03,1,1,543994,JSWINFRA,2800,119,24.64,16.74,10.44,22.03,143,157.3,32.18,263.15,121.22,349,24/09/2025,218.2,18/02/2025,9450.66,3372.85,749.51,29.67,19.38,18.33%,19.49%,18.8%,3934.64,3645.75,4243.7,22.22,4.12,,,
Updater IPO,2023-09-25,2023-10-04,1,1,543996,UDS,640,300,2.44,0.87,1.39,2.1,285,283.9,-5.37,159.04,-46.97,356,26/05/2025,146.45,02/02/2026,1216.95,2112.09,34.61,44.31,57.8,9.4%,14.17%,9.34%,380.89,,176.54,1.64,6.77,,,
Valiant Laboratories IPO,2023-09-27,2023-10-06,1,1,543998,VALIANTLAB,152.46,140,8.78,73.74,15.72,20.95,162.15,170.25,21.61,62.65,-55.08,115.19,12/06/2025,56.53,29/01/2026,212.76,338.77,29,15.71,,33.73%,22.76%,28.86%,100.49,,59.4,8.56,8.91,,,
Plaza Wires IPO,2023-09-29,2023-10-12,1,1,544003,PLAZACABLE,71.28,54,26.2,387.25,360.04,113.74,76,80.2,48.52,39.92,-26.98,69.73,12/02/2025,34.63,23/01/2026,112.1,182.6,7.51,21.95,,14.15%,15.57%,14.16%,53.08,22.53,39.68,4.11,2.46,,,
IRM Energy IPO,2023-10-18,2023-10-26,1,1,544004,IRMENERGY,545,505,18.33,48.98,9.07,19.3,477.25,473.15,-6.31,253.29,-49.68,393,23/09/2025,229,02/02/2026,838.21,248.63,26.91,24.13,32.8,18.23%,14.19%,18.23%,373.33,,321.24,,20.93,,,
Blue Jet Healthcare IPO,2023-10-25,2023-11-01,1,1,544009,BLUEJET,840.27,346,6.2,13.48,2.25,5.91,380,413.4,19.48,441.4,27.63,1027.8,21/07/2025,392,02/02/2026,903.8,184.6,44.12,37.49,34.02,26.6%,31.91%,23.48%,725.68,690.99,,22.27,9.23,,,
Cello World IPO,2023-10-30,2023-11-06,1,1,544012,CELLO,1900,648,49.78,24.45,3.17,29.5,829,791.7,22.18,507.65,-21.64,673.8,30/10/2025,490,02/02/2026,1686.05,479.88,82.83,,41.51,39.9%,44.48%,23.17%,1226.56,149.61,328.64,15.9,13.65,,,
Honasa Consumer IPO,2023-10-31,2023-11-07,1,1,544014,HONASA,1701.44,324,5.22,4.02,1.31,4.65,330,337.1,4.04,299.25,-7.7,334.2,09/06/2025,197.51,12/02/2025,1048.03,477.1,24.72,,105.54,,,-23.57%,638.26,-1290.94,6.79,,4.66,,,
ESAF Small Finance Bank IPO,2023-11-03,2023-11-10,1,1,544020,ESAFSFB,463,60,73.45,88.93,17.83,54.68,71,69.05,15.08,28.21,-52.83,36.2,01/07/2025,24.31,27/03/2025,20795.94,991.78,129.96,8.94,5.94,,,17.69%,1839.09,1389.62,2739.13,,6.73,,,
Protean eGov Technologies IPO,2023-11-06,2023-11-13,1,0,544021,PROTEAN,489.95,792,19.37,31.98,8.7,17.11,792,883,11.49,651,-17.84,1484.5,22/04/2025,590.4,02/02/2026,1133.86,233.17,32.21,29.91,24.86,12.49%,16.13%,12.49%,888.1,847.48,,14.42,26.48,,,
ASK Automotive IPO,2023-11-07,2023-11-15,1,1,544022,ASKAUTOLTD,833.91,282,57.55,35.43,5.55,36.03,303.3,310.1,9.96,440.65,56.31,578.5,24/09/2025,333.3,03/03/2025,1443.34,657.55,34.83,45.63,39.89,,,19.1%,,639.03,268.03,4.79,6.18,,,
Innova Captab IPO,2023-12-21,2023-11-29,1,1,544026,IREDA,570,32,42.69,22.98,7.53,27.35,50,60,87.5,125.22,291.56,187.7,21/02/2025,124.1,12/02/2026,1086.16,234.37,17.59,31.64,36.42,24.58%,22.61%,24.58%,294.27,317.51,441.9,7.34,14.16,,,
Fedbank Financial IPO,2023-11-22,2023-11-30,1,1,544027,FEDFINA,1092.26,140,2.03,1.51,1.8,1.85,138,140.25,0.18,146.14,4.36,178.48,14/01/2026,80,07/04/2025,9412.51,367.87,53.88,25.04,23.97,14.36%,,13.29%,1414.9,1076.67,7619.52,,5.6,,,
Gandhar Oil Refinery IPO,2023-11-22,2023-11-30,1,1,544029,GANDHAR,500.69,169,52.11,64.99,29.09,45.99,298,301.4,78.34,150.18,-11.07,184.42,04/06/2025,120.56,09/12/2025,1795.57,1071.52,54.28,,6.16,32.28%,41.19%,32.28%,810.79,763.99,335.62,5.2,23.77,,,
Tata Technologies IPO,2023-11-22,2023-11-30,1,1,544028,TATATECH,3042.51,500,81.79,62.87,16.01,51.18,1200,1313,162.6,614.75,23.01,797,11/06/2025,575.3,13/02/2026,5142.42,2587.42,351.9,32.53,28.82,,,20.87%,2853.13,2455.29,,14.14,15.37,,,
Flair Writing Industries IPO,2023-11-22,2023-12-01,1,1,544030,FLAIR,593,304,49.32,35.58,13.37,34.68,501,450.9,48.32,322.4,6.17,357,30/07/2025,194.03,11/03/2025,765.04,248.5,32.14,23.36,25.7,31.17%,31.24%,31.17%,470.16,423.46,126.67,12.53,12.33,,,
DOMS Industries IPO,2023-12-13,2023-12-20,1,1,544045,DOMS,1200,790,49.34,69.44,70.14,54.19,1400,1326.05,67.85,2413.7,205.82,3064.6,22/04/2025,2250,07/04/2025,829.46,764.22,73.91,43.19,,33.54%,33.31%,28.39%,397.61,341.36,176.38,2.51,18.29,,,
India Shelter Finance IPO,2023-12-13,2023-12-20,1,1,544044,INDIASHLTR,1200,493,38.26,29.76,10.07,27.12,620,544.7,10.49,742.15,50.7,1011.75,21/07/2025,640.8,12/02/2025,4758.68,398.58,107.35,28.22,24.58,13.4%,,13.4%,1374.97,1335.36,3272.48,,17.47,,,
IREDA IPO,2023-11-21,2023-12-21,1,1,544046,INOXINDIA,2150.21,660,59.58,52.74,14.68,42.84,949.65,939.95,42.42,1147.1,73.79,1288,02/07/2025,885.1,18/02/2025,51208.36,2320.46,579.32,8.47,7.42,15.44%,,15.44%,6580.61,2550.36,39850.19,,3.78,,,
Motisons Jewellers IPO,2023-12-18,2023-12-26,1,1,544053,MOTISONS,151.09,55,64.92,705.88,117.44,213.54,109,103.55,88.27,16.01,191.45,24.02,08/07/2025,10.62,27/01/2026,348.13,86.76,5.48,17.59,24.66,17.56%,30.04%,16.15%,142.81,,166.03,6.06,3.42,,,
Muthoot Microfin IPO,2023-12-18,2023-12-26,1,1,544055,MML,960,291,7.98,13.59,7.82,8.68,275.3,266.15,-8.54,186.82,-35.69,199.39,27/11/2025,119.25,18/03/2025,8529.2,1446.34,163.89,24.96,25.38,11.06%,,10.08%,1625.85,1282.15,6493.18,,11.98,,,
Suraj Estate Developers IPO,2023-12-18,2023-12-26,1,1,544054,SURAJEST,400,360,10.92,19.89,9.54,11.78,340,334.5,-7.08,230.53,-36.17,398.7,06/06/2025,209.3,27/01/2026,994.73,102.81,14.53,35.64,49.81,58.18%,21.93%,58.18%,86.11,70.29,598.5,10.49,10.1,,,
Credo Brands Marketing IPO,2023-12-19,2023-12-27,1,1,544058,MUFTI,549.78,280,43.39,52.27,19.47,36.35,282.35,312.2,11.5,94.77,-66.15,189,02/06/2025,85.31,21/01/2026,592.38,119.43,8.58,23.22,23.23,29.98%,28.16%,29.98%,289.88,,11.3,15.56,0.54,,,
Happy Forgings IPO,2023-12-19,2023-12-27,1,1,544057,HAPPYFORGE,1008.59,850,86.32,63.14,15.02,57.89,1000,1030.8,21.27,1286.6,51.55,1286.6,12/02/2026,724.1,07/04/2025,1489.8,675.73,119.3,36.45,33.56,21.12%,24.24%,21.12%,1103.33,1088.25,258.97,17.44,23.32,,,
RBZ Jewellers IPO,2023-12-19,2023-12-27,1,1,544060,RBZJEWEL,100,100,6.19,9.12,24.78,13.58,100,105,5,152.12,52.45,216.67,13/02/2025,125.5,09/04/2025,234.76,125.52,12.09,13.77,16.53,27.49%,27.49%,20.08%,104.57,74.02,101.84,7.76,7.44,,,
Azad Engineering IPO,2023-12-20,2023-12-28,1,1,544061,AZAD,740,524,72.25,90.49,23.95,57.77,720,677.5,29.29,1610.8,208.34,1899,02/06/2025,1159.45,07/04/2025,636.63,169.54,26.89,292.74,57.58,4.2%,12.99%,4.23%,,221.14,324.94,3.2,1.79,,,
Inox India IPO,2023-12-14,2023-12-29,1,1,544067,INNOVACAP,1459.32,448,46.93,65.01,17.02,39.17,452.1,541.4,20.85,691.7,54.25,1020.7,13/06/2025,624,19/01/2026,1155.81,580,103.34,39.22,29,27.79%,36.53%,27.79%,554.24,,31.03,15.52,16.83,,,
Jyoti CNC Automation IPO,2024-01-09,2024-01-16,1,1,544081,JYOTICNC,1000,331,19.08,38.31,26.48,22.59,370,434.2,31.18,827.6,150.08,1330,02/06/2025,750,02/02/2026,1706.07,510.53,3.35,433.43,1122.83,18.35%,9.5%,18.35%,205.63,213.33,821.4,1.58,0.76,0.29,59.43,
Medi Assist Healthcare IPO,2024-01-15,2024-01-23,1,1,544088,MEDIASSIST,1171.58,418,16.68,14.76,3.07,11.63,460,464.1,11.03,403.45,-3.29,594.1,12/08/2025,385,03/02/2026,802.62,312.03,45.26,38.22,31.8,,24.95%,1963%,416.64,102.03,,14.51,10.94,13.15,0,
EPACK Durable IPO,2024-01-19,2024-01-30,1,1,544095,EPACK,640.05,230,10.89,29.06,6.44,12.06,221,207.6,-9.74,250.06,8.67,421.35,22/04/2025,216.5,29/01/2026,1071.45,616.32,2.65,56.4,415.1,14.68%,11.85%,14.68%,478.31,,369.57,2.08,4.08,0.55,4.98,
Nova AgriTech IPO,2024-01-23,2024-01-31,1,1,544100,NOVAAGRI,143.81,41,32.51,232.54,78.22,78.51,55,57.75,40.85,29.06,-28.59,62.84,22/07/2025,29,13/02/2026,196.37,103.24,10.38,13.05,18.27,38.27%,27.25%,32.08%,74.23,60.97,68.5,9.73,3.14,2.24,4.06,
BLS E-Services IPO,2024-01-30,2024-02-06,1,1,544107,BLSE,309.29,135,49.54,298.02,226.49,94.98,305,366,171.11,163.73,21.74,232.5,11/06/2025,131.31,07/04/2025,213.77,158.05,14.68,44.31,60.33,33.33%,30.62%,16.46%,120.37,,0,8.36,3.05,2.24,7.2,
Apeejay Surrendra Park Hotels IPO,2024-02-05,2024-02-12,1,1,544111,PARKHOTELS,920,155,32.47,54.14,31.25,35.19,186,203.55,31.32,126.83,-18.16,174.66,12/02/2025,116.85,27/01/2026,1382.51,272.31,22.95,56.33,72.05,,,9.03%,578.71,561.24,597.09,,2.75,2.15,4.87,
