Company,Opening_Date,Listing_Date,Listing_At,BSE_Scrip_Code,NSE_Symbol,Issue_Amount_(Rs.cr.),Issue_Price_(Rs.),QIB_(x),NII_(x),Retail_(x),Total_(x),Open_Price_on_Listing_(Rs.),Close_Price_on_Listing_(Rs.),%_Gain_/_Loss_(Issue_price_v/s_Close_price_on_Listing),Current_Price_<br>at_BSE_(Rs.),Current_Price_<br>at_NSE_(Rs.),Gain_/_Loss_(%),Market_Price_(Rs.),52_Week_High,52_Week_Low,Market_Price_(Value),Market_Price_(%),52_Week_High_(Value),52_Week_High_(Date),52_Week_Low_(Value),52_Week_Low_(Date),Assets_(Rs.cr.),Revenue_(Rs.cr.),Profit_After_Tax_(Rs.cr.),P/E_(x)_Pre-IPO,P/E_(x)_Post-IPO,ROE,ROCE,RoNW,Net_Worth_(Rs.cr.),Reserves_and_Surplus_(Rs.cr.),Total_Borrowing_(Rs.cr.),PAT_Margin_%,EPS_(Rs.)_Pre-IPO,EPS_(Rs.)_Post-IPO,Price_to_Book_Value,Ebitda_(Rs.cr.)
Utkarsh Small Finance Bank IPO,2023-07-12,2023-07-21,"BSE, NSE",543942,UTKARSHBNK,500,25,54.91,88.11,76.14,61.41,40,48,92,13.54,13.55,-45.84,13.77 (-44.8%),"26.97 (Feb 11, 2025)","12.96 (Feb 04, 2026)",13.77,-44.8,26.97,"Feb 11, 2025",12.96,"Feb 04, 2026","19,117.54","2,804.29",404.5,6.78,,22.64%,,20.22%,"2,000.32","1,104.42","2,349.48",,4.52,,,
Netweb Technologies IPO,2023-07-17,2023-07-27,"BSE, NSE",543945,NETWEB,631,500,88.64,84.21,18.74,63.41,947,910.4,82.08,3099.3,3097.3,519.86,"3,201.90 (540.95%)","4,479.00 (Oct 08, 2025)","1,251.55 (Apr 07, 2025)",3201.9,540.95,"4,479.00","Oct 08, 2025",1251.55,"Apr 07, 2025",265.95,445.65,46.94,59.67,,68.01%,64.42%,68.01%,93.67,83.48,35.6,10.55,9.22,,,
Yatharth Hospital IPO,2023-07-26,2023-08-07,"BSE, NSE",543950,YATHARTH,686.55,300,35.04,38.54,8.38,26.24,306.1,300,0,685.9,685.25,128.63,694.20 (131.55%),"843.70 (Oct 08, 2025)","345.60 (Mar 03, 2025)",694.2,131.55,843.7,"Oct 08, 2025",345.6,"Mar 03, 2025",485.97,523.1,65.77,39.16,,35.95%,26.10%,35.95%,182.96,,263.78,12.64,10.09,,,
SBFC Finance IPO,2023-08-03,2023-08-16,"BSE, NSE",543959,SBFC,"1,025.00",57,82,52.08,11.15,52.23,82,92.2,61.75,96.37,96.75,69.07,98.09 (72.12%),"123.00 (Nov 03, 2025)","79.66 (Feb 18, 2025)",98.09,72.12,123,"Nov 03, 2025",79.66,"Feb 18, 2025","5,746.44",740.36,149.74,40.42,,9.93%,,7.97%,"1,466.88",,"3,745.83",,1.25,,,
Concord Biotech IPO,2023-08-04,2023-08-18,"BSE, NSE",543960,CONCORDBIO,"1,550.52",741,27.62,16.94,3.7,17.64,900.05,942.8,27.23,1183.25,1184.4,59.68,"1,228.90 (65.86%)","2,253.95 (Feb 11, 2025)","1,100.00 (Feb 02, 2026)",1228.9,65.86,"2,253.95","Feb 11, 2025",1100,"Feb 02, 2026","1,513.98",888.48,240.08,32.29,,20.06%,24.27%,20.00%,"1,290.00",,31.24,28.14,20.79,,,
TVS Supply Chain Solutions IPO,2023-08-10,2023-08-23,"BSE, NSE",543965,TVSSCS,880,197,1.16,2.38,7.53,1.98,207.05,201,2.03,131.29,131.13,-33.36,125.58 (-36.28%),"156.25 (Feb 13, 2025)","92.16 (Jan 27, 2026)",125.58,-36.28,156.25,"Feb 13, 2025",92.16,"Jan 27, 2026","6,210.92","10,311.01",41.76,189.42,,5.50%,7.64%,5.50%,723.55,774.19,"1,989.62",,1.04,,,
Pyramid Technoplast IPO,2023-08-18,2023-08-29,"BSE, NSE",543969,PYRAMID,153.05,166,4.69,32.25,14.24,14.98,187,177.65,7.02,153,153.4,-7.83,158.13 (-3.86%),"190.00 (Jun 17, 2025)","134.91 (Mar 17, 2025)",158.13,-3.86,190,"Jun 17, 2025",134.91,"Mar 17, 2025",225.78,482.03,31.76,16.21,,29.61%,21.37%,29.61%,107.25,75.97,55.34,6.62,10.24,,,
Aeroflex Industries IPO,2023-08-22,2023-08-31,"BSE, NSE",543972,AEROFLEX,351,108,76.9,131.4,34.55,69.39,190,163.25,51.16,186.7,186.38,72.87,193.24 (79.03%),"272.00 (Feb 06, 2025)","148.01 (Apr 07, 2025)",193.24,79.03,272,"Feb 06, 2025",148.01,"Apr 07, 2025",213.98,269.48,30.15,40.91,,26.43%,31.96%,26.43%,114.09,,45.01,11.19,2.64,,,
Vishnu Prakash R.Punglia IPO,2023-08-24,2023-09-05,"BSE, NSE",543974,VPRPL,308.61,99,69.2,111.9,31.02,61.76,165,145.7,47.17,47.04,46.93,-52.48,49.71 (-49.81%),"195.80 (Feb 11, 2025)","42.60 (Feb 02, 2026)",49.71,-49.81,195.8,"Feb 11, 2025",42.6,"Feb 02, 2026",825.48,"1,171.46",90.64,13.61,,,33.72%,38.31%,314.51,219.96,250.37,7.74,10.41,,,
Rishabh Instruments IPO,2023-08-30,2023-09-11,"BSE, NSE",543977,RISHABH,490.78,441,29.51,31.39,8.16,22.32,460.05,443.15,0.49,435.55,436.85,-1.24,439.30 (-0.24%),"490.00 (Sep 04, 2025)","201.50 (Mar 04, 2025)",439.3,-0.24,490,"Sep 04, 2025",201.5,"Mar 04, 2025",648.93,579.78,49.69,,33.69,12.39%,13.77%,11.67%,408.75,,102.85,8.57,12.84,,,
Ratnaveer Precision Engineering IPO,2023-09-04,2023-09-11,"BSE, NSE",543978,RATNAVEER,165.03,98,53.61,134.18,52.84,65.42,123.2,129.35,31.99,146.8,146.93,49.8,152.04 (55.26%),"177.00 (May 30, 2025)","115.99 (Apr 07, 2025)",152.04,55.26,177,"May 30, 2025",115.99,"Apr 07, 2025",389.05,481.14,25.04,,18.99,29.12%,12.62%,29.12%,106.05,71.16,229.99,5.21,7.26,,,
Jupiter Life Line Hospitals IPO,2023-09-06,2023-09-18,"BSE, NSE",543980,JLHL,869.08,735,75.72,36.44,7.66,46.01,973,"1,075.75",46.36,1238.85,1240.2,68.55,"1,255.30 (71.06%)","1,770.00 (Mar 25, 2025)","1,198.80 (Feb 05, 2026)",1255.3,71.06,"1,770.00","Mar 25, 2025",1198.8,"Feb 05, 2026",985.53,902.96,72.91,52.68,66.1,20.03%,20.94%,20.03%,363.91,,468.63,-0.47,13.95,,,
EMS IPO,2023-09-08,2023-09-21,"BSE, NSE",543983,EMSLIMITED,321.25,211,60.31,83.76,29.28,52.97,282.05,279.9,32.65,330.3,330.6,56.54,351.10 (66.52%),"714.90 (Feb 12, 2025)","322.15 (Jan 30, 2026)",351.1,66.52,714.9,"Feb 12, 2025",322.15,"Jan 30, 2026",638.72,543.28,108.67,,10.78,22.27%,28.26%,22.31%,487.83,443.45,45.4,20.18,23.15,,,
R R Kabel IPO,2023-09-13,2023-09-20,"BSE, NSE",543981,RRKABEL,"1,964.01","1,035",21.62,12.98,2.05,13.4,"1,180.00","1,198.05",15.75,1404.8,1403.9,35.73,"1,428.20 (38.08%)","1,562.60 (Dec 22, 2025)","853.55 (Mar 18, 2025)",1428.2,38.08,"1,562.60","Dec 22, 2025",853.55,"Mar 18, 2025","2,633.62","5,633.64",189.87,,39.26,14.22%,15.57%,13.66%,"1,390.47",914.15,515.84,3.37,17.09,,,
SAMHI Hotels IPO,2023-09-14,2023-09-22,"BSE, NSE",543984,SAMHI,"1,370.10",126,4.32,1.26,1.11,3.54,134.5,143.4,13.81,165.6,165.86,31.43,166.76 (32.46%),"254.50 (Jul 22, 2025)","121.10 (Apr 07, 2025)",166.76,32.46,254.5,"Jul 22, 2025",121.1,"Apr 07, 2025","2,263.00",761.42,-338.59,,,,,,-871.43,-816.18,"2,787.54",,,,,
Zaggle Prepaid Ocean IPO,2023-09-14,2023-09-22,"BSE, NSE",543985,ZAGGLE,563.38,164,7.45,9.13,5.94,7.55,164,158.35,-3.45,286.25,285.95,74.54,304.20 (85.85%),"469.80 (Jun 10, 2025)","265.80 (Jan 27, 2026)",304.2,85.85,469.8,"Jun 10, 2025",265.8,"Jan 27, 2026",234.76,554.58,22.9,66.67,87.23,46.98%,,46.98%,48.75,39.36,121.07,4.14,2.46,,,
Yatra Online IPO,2023-09-15,2023-09-28,"BSE, NSE",543992,YATRA,775,142,1.46,0.42,2.08,1.37,127.5,135.9,-4.3,167.1,167.01,17.68,166.25 (17.15%),"202.00 (Nov 17, 2025)","65.51 (Mar 12, 2025)",166.25,17.15,202,"Nov 17, 2025",65.51,"Mar 12, 2025",681.25,397.47,7.63,205.8,289.8,18.10%,26.00%,4.50%,169.52,,153.07,,0.69,,,
Sai Silks (Kalamandir) IPO,2023-09-20,2023-09-27,"BSE, NSE",543989,KALAMANDIR,"1,201.00",222,5.51,2.56,0.87,3.45,231,244.9,10.32,115.8,115.72,-47.84,114.22 (-48.51%),"223.03 (Oct 28, 2025)","106.55 (Feb 02, 2026)",114.22,-48.51,223.03,"Oct 28, 2025",106.55,"Feb 02, 2026","1,220.45","1,358.92",97.59,27.37,34.91,27.96%,23.55%,24.56%,397.33,373.27,345.5,7.22,8.11,,,
Signatureglobal IPO,2023-09-20,2023-09-27,"BSE, NSE",543990,SIGNATURE,730,385,6.19,14.23,6.97,7.47,444,458.55,19.1,1042.25,1040.55,170.71,982.90 (155.1%),"1,309.50 (Jun 12, 2025)","775.20 (Jan 27, 2026)",982.9,155.1,"1,309.50","Jun 12, 2025",775.2,"Jan 27, 2026","5,999.13","1,585.88",-63.72,,,-134.00%,1.00%,,47.54,34.08,"1,709.75",,-5.44,,,
Manoj Vaibhav Gems 'N' Jewellers IPO,2023-09-22,2023-10-03,"BSE, NSE",543995,MVGJL,270.2,215,1.04,5.35,1.67,1.91,215,215.5,0.23,172.7,172.76,-19.67,176.23 (-17.98%),"280.00 (Jun 09, 2025)","160.50 (Jan 29, 2026)",176.23,-17.98,280,"Jun 09, 2025",160.5,"Jan 29, 2026","1,082.82",510.21,19.24,11.74,,23.19%,17.71%,20.78%,363.65,324.57,460.39,3.53,18.32,,,
JSW Infrastructure IPO,2023-09-25,2023-10-03,"BSE, NSE",543994,JSWINFRA,"2,800.00",119,24.64,16.74,10.44,22.03,143,157.3,32.18,257.55,257.45,116.43,263.15 (121.22%),"349.00 (Sep 24, 2025)","218.20 (Feb 18, 2025)",263.15,121.22,349,"Sep 24, 2025",218.2,"Feb 18, 2025","9,450.66","3,372.85",749.51,29.67,19.38,18.33%,19.49%,18.80%,"3,934.64","3,645.75","4,243.70",22.22,4.12,,,
Updater IPO,2023-09-25,2023-10-04,"BSE, NSE",543996,UDS,640,300,2.44,0.87,1.39,2.1,285,283.9,-5.37,153.25,153.62,-48.92,159.04 (-46.97%),"356.00 (May 26, 2025)","146.45 (Feb 02, 2026)",159.04,-46.97,356,"May 26, 2025",146.45,"Feb 02, 2026","1,216.95","2,112.09",34.61,44.31,57.8,9.40%,14.17%,9.34%,380.89,,176.54,1.64,6.77,,,
Valiant Laboratories IPO,2023-09-27,2023-10-06,"BSE, NSE",543998,VALIANTLAB,152.46,140,8.78,73.74,15.72,20.95,162.15,170.25,21.61,61.5,61.23,-56.07,62.65 (-55.08%),"115.19 (Jun 12, 2025)","56.53 (Jan 29, 2026)",62.65,-55.08,115.19,"Jun 12, 2025",56.53,"Jan 29, 2026",212.76,338.77,29,15.71,,33.73%,22.76%,28.86%,100.49,,59.4,8.56,8.91,,,
Plaza Wires IPO,2023-09-29,2023-10-12,"BSE, NSE",544003,PLAZACABLE,71.28,54,26.2,387.25,360.04,113.74,76,80.2,48.52,40.15,40.05,-25.65,39.92 (-26.98%),"69.73 (Feb 12, 2025)","34.63 (Jan 23, 2026)",39.92,-26.98,69.73,"Feb 12, 2025",34.63,"Jan 23, 2026",112.1,182.6,7.51,21.95,,14.15%,15.57%,14.16%,53.08,22.53,39.68,4.11,2.46,,,
IRM Energy IPO,2023-10-18,2023-10-26,"BSE, NSE",544004,IRMENERGY,545,505,18.33,48.98,9.07,19.3,477.25,473.15,-6.31,245.35,245.66,-51.42,253.29 (-49.68%),"393.00 (Sep 23, 2025)","229.00 (Feb 02, 2026)",253.29,-49.68,393,"Sep 23, 2025",229,"Feb 02, 2026",838.21,248.63,26.91,24.13,32.8,18.23%,14.19%,18.23%,373.33,,321.24,,20.93,,,
Blue Jet Healthcare IPO,2023-10-25,2023-11-01,"BSE, NSE",544009,BLUEJET,840.27,346,6.2,13.48,2.25,5.91,380,413.4,19.48,397.45,397.3,14.87,441.40 (27.63%),"1,027.80 (Jul 21, 2025)","392.00 (Feb 02, 2026)",441.4,27.63,"1,027.80","Jul 21, 2025",392,"Feb 02, 2026",903.8,184.6,44.12,37.49,34.02,26.60%,31.91%,23.48%,725.68,690.99,,22.27,9.23,,,
Cello World IPO,2023-10-30,2023-11-06,"BSE, NSE",544012,CELLO,"1,900.00",648,49.78,24.45,3.17,29.5,829,791.7,22.18,507.7,507.7,-21.65,507.65 (-21.64%),"673.80 (Oct 30, 2025)","490.00 (Feb 02, 2026)",507.65,-21.64,673.8,"Oct 30, 2025",490,"Feb 02, 2026","1,686.05",479.88,82.83,,41.51,39.90%,44.48%,23.17%,"1,226.56",149.61,328.64,15.9,13.65,,,
Honasa Consumer IPO,2023-10-31,2023-11-07,"BSE, NSE",544014,HONASA,"1,701.44",324,5.22,4.02,1.31,4.65,330,337.1,4.04,301.5,301.45,-6.94,299.25 (-7.7%),"334.20 (Jun 09, 2025)","197.51 (Feb 12, 2025)",299.25,-7.7,334.2,"Jun 09, 2025",197.51,"Feb 12, 2025","1,048.03",477.1,24.72,,105.54,,,-23.57%,638.26,"-1,290.94",6.79,,4.66,,,
ESAF Small Finance Bank IPO,2023-11-03,2023-11-10,"BSE, NSE",544020,ESAFSFB,463,60,73.45,88.93,17.83,54.68,71,69.05,15.08,28.29,28.32,-52.85,28.21 (-52.83%),"36.20 (Jul 01, 2025)","24.31 (Mar 27, 2025)",28.21,-52.83,36.2,"Jul 01, 2025",24.31,"Mar 27, 2025","20,795.94",991.78,129.96,8.94,5.94,,,17.69%,"1,839.09","1,389.62","2,739.13",,6.73,,,
Protean eGov Technologies IPO,2023-11-06,2023-11-13,BSE,544021,PROTEAN,489.95,792,19.37,31.98,8.7,17.11,792,883,11.49,633.6,633.6,-20,651.00 (-17.84%),"1,484.50 (Apr 22, 2025)","590.40 (Feb 02, 2026)",651,-17.84,"1,484.50","Apr 22, 2025",590.4,"Feb 02, 2026","1,133.86",233.17,32.21,29.91,24.86,12.49%,16.13%,12.49%,888.1,847.48,,14.42,26.48,,,
ASK Automotive IPO,2023-11-07,2023-11-15,"BSE, NSE",544022,ASKAUTOLTD,833.91,282,57.55,35.43,5.55,36.03,303.3,310.1,9.96,431.85,432.1,53.14,440.65 (56.31%),"578.50 (Sep 24, 2025)","333.30 (Mar 03, 2025)",440.65,56.31,578.5,"Sep 24, 2025",333.3,"Mar 03, 2025","1,443.34",657.55,34.83,45.63,39.89,,,19.10%,,639.03,268.03,4.79,6.18,,,
IREDA IPO,2023-11-21,2023-12-21,"BSE, NSE",544046,INOXINDIA,"2,150.21",660,59.58,52.74,14.68,42.84,949.65,939.95,42.42,1169.2,1169.4,77.15,"1,147.10 (73.79%)","1,288.00 (Jul 02, 2025)","885.10 (Feb 18, 2025)",1147.1,73.79,"1,288.00","Jul 02, 2025",885.1,"Feb 18, 2025","51,208.36","2,320.46",579.32,8.47,7.42,15.44%,,15.44%,"6,580.61","2,550.36","39,850.19",,3.78,,,
Fedbank Financial IPO,2023-11-22,2023-11-30,"BSE, NSE",544027,FEDFINA,"1,092.26",140,2.03,1.51,1.8,1.85,138,140.25,0.18,142.05,141.75,1.46,146.14 (4.36%),"178.48 (Jan 14, 2026)","80.00 (Apr 07, 2025)",146.14,4.36,178.48,"Jan 14, 2026",80,"Apr 07, 2025","9,412.51",367.87,53.88,25.04,23.97,14.36%,,13.29%,"1,414.90","1,076.67","7,619.52",,5.6,,,
Flair Writing Industries IPO,2023-11-22,2023-12-01,"BSE, NSE",544030,FLAIR,593,304,49.32,35.58,13.37,34.68,501,450.9,48.32,323.25,323.05,6.33,322.40 (6.17%),"357.00 (Jul 30, 2025)","194.03 (Mar 11, 2025)",322.4,6.17,357,"Jul 30, 2025",194.03,"Mar 11, 2025",765.04,248.5,32.14,23.36,25.7,31.17%,31.24%,31.17%,470.16,423.46,126.67,12.53,12.33,,,
Gandhar Oil Refinery IPO,2023-11-22,2023-11-30,"BSE, NSE",544029,GANDHAR,500.69,169,52.11,64.99,29.09,45.99,298,301.4,78.34,146.5,146.7,-13.31,150.18 (-11.07%),"184.42 (Jun 04, 2025)","120.56 (Dec 09, 2025)",150.18,-11.07,184.42,"Jun 04, 2025",120.56,"Dec 09, 2025","1,795.57","1,071.52",54.28,,6.16,32.28%,41.19%,32.28%,810.79,763.99,335.62,5.2,23.77,,,
Tata Technologies IPO,2023-11-22,2023-11-30,"BSE, NSE",544028,TATATECH,"3,042.51",500,81.79,62.87,16.01,51.18,"1,200.00","1,313.00",162.6,597.75,598.25,19.55,614.75 (23.01%),"797.00 (Jun 11, 2025)","575.30 (Feb 13, 2026)",614.75,23.01,797,"Jun 11, 2025",575.3,"Feb 13, 2026","5,142.42","2,587.42",351.9,32.53,28.82,,,20.87%,"2,853.13","2,455.29",,14.14,15.37,,,
DOMS Industries IPO,2023-12-13,2023-12-20,"BSE, NSE",544045,DOMS,"1,200.00",790,49.34,69.44,70.14,54.19,"1,400.00","1,326.05",67.85,2369.95,2365.7,199.99,"2,413.70 (205.82%)","3,064.60 (Apr 22, 2025)","2,250.00 (Apr 07, 2025)",2413.7,205.82,"3,064.60","Apr 22, 2025",2250,"Apr 07, 2025",829.46,764.22,73.91,43.19,,33.54%,33.31%,28.39%,397.61,341.36,176.38,2.51,18.29,,,
India Shelter Finance IPO,2023-12-13,2023-12-20,"BSE, NSE",544044,INDIASHLTR,"1,200.00",493,38.26,29.76,10.07,27.12,620,544.7,10.49,737.95,737.4,49.69,742.15 (50.7%),"1,011.75 (Jul 21, 2025)","640.80 (Feb 12, 2025)",742.15,50.7,"1,011.75","Jul 21, 2025",640.8,"Feb 12, 2025","4,758.68",398.58,107.35,28.22,24.58,13.40%,,13.40%,"1,374.97","1,335.36","3,272.48",,17.47,,,
Inox India IPO,2023-12-14,2023-12-29,"BSE, NSE",544067,INNOVACAP,"1,459.32",448,46.93,65.01,17.02,39.17,452.1,541.4,20.85,677.6,678.85,51.25,691.70 (54.25%),"1,020.70 (Jun 13, 2025)","624.00 (Jan 19, 2026)",691.7,54.25,"1,020.70","Jun 13, 2025",624,"Jan 19, 2026","1,155.81",580,103.34,39.22,29,27.79%,36.53%,27.79%,554.24,,31.03,15.52,16.83,,,
Motisons Jewellers IPO,2023-12-18,2023-12-26,"BSE, NSE",544053,MOTISONS,151.09,55,64.92,705.88,117.44,213.54,109,103.55,88.27,15.79,15.91,187.09,16.01 (191.45%),"24.02 (Jul 08, 2025)","10.62 (Jan 27, 2026)",16.01,191.45,24.02,"Jul 08, 2025",10.62,"Jan 27, 2026",348.13,86.76,5.48,17.59,24.66,17.56%,30.04%,16.15%,142.81,,166.03,6.06,3.42,,,
Muthoot Microfin IPO,2023-12-18,2023-12-26,"BSE, NSE",544055,MML,960,291,7.98,13.59,7.82,8.68,275.3,266.15,-8.54,190.2,190.3,-34.64,186.82 (-35.69%),"199.39 (Nov 27, 2025)","119.25 (Mar 18, 2025)",186.82,-35.69,199.39,"Nov 27, 2025",119.25,"Mar 18, 2025","8,529.20","1,446.34",163.89,24.96,25.38,11.06%,,10.08%,"1,625.85","1,282.15","6,493.18",,11.98,,,
Suraj Estate Developers IPO,2023-12-18,2023-12-26,"BSE, NSE",544054,SURAJEST,400,360,10.92,19.89,9.54,11.78,340,334.5,-7.08,224.55,224.99,-37.62,230.53 (-36.17%),"398.70 (Jun 06, 2025)","209.30 (Jan 27, 2026)",230.53,-36.17,398.7,"Jun 06, 2025",209.3,"Jan 27, 2026",994.73,102.81,14.53,35.64,49.81,58.18%,21.93%,58.18%,86.11,70.29,598.5,10.49,10.1,,,
Credo Brands Marketing IPO,2023-12-19,2023-12-27,"BSE, NSE",544058,MUFTI,549.78,280,43.39,52.27,19.47,36.35,282.35,312.2,11.5,92.02,91.95,-67.14,94.77 (-66.15%),"189.00 (Jun 02, 2025)","85.31 (Jan 21, 2026)",94.77,-66.15,189,"Jun 02, 2025",85.31,"Jan 21, 2026",592.38,119.43,8.58,23.22,23.23,29.98%,28.16%,29.98%,289.88,,11.3,15.56,0.54,,,
Happy Forgings IPO,2023-12-19,2023-12-27,"BSE, NSE",544057,HAPPYFORGE,"1,008.59",850,86.32,63.14,15.02,57.89,"1,000.00","1,030.80",21.27,1299,1299.8,52.82,"1,286.60 (51.55%)","1,286.60 (Feb 12, 2026)","724.10 (Apr 07, 2025)",1286.6,51.55,"1,286.60","Feb 12, 2026",724.1,"Apr 07, 2025","1,489.80",675.73,119.3,36.45,33.56,21.12%,24.24%,21.12%,"1,103.33","1,088.25",258.97,17.44,23.32,,,
RBZ Jewellers IPO,2023-12-19,2023-12-27,"BSE, NSE",544060,RBZJEWEL,100,100,6.19,9.12,24.78,13.58,100,105,5,152.95,152.2,52.95,152.12 (52.45%),"216.67 (Feb 13, 2025)","125.50 (Apr 09, 2025)",152.12,52.45,216.67,"Feb 13, 2025",125.5,"Apr 09, 2025",234.76,125.52,12.09,13.77,16.53,27.49%,27.49%,20.08%,104.57,74.02,101.84,7.76,7.44,,,
Azad Engineering IPO,2023-12-20,2023-12-28,"BSE, NSE",544061,AZAD,740,524,72.25,90.49,23.95,57.77,720,677.5,29.29,1579.6,1579.1,201.45,"1,610.80 (208.34%)","1,899.00 (Jun 02, 2025)","1,159.45 (Apr 07, 2025)",1610.8,208.34,"1,899.00","Jun 02, 2025",1159.45,"Apr 07, 2025",636.63,169.54,26.89,292.74,57.58,4.20%,12.99%,4.23%,,221.14,324.94,3.2,1.79,,,
Innova Captab IPO,2023-12-21,2023-11-29,"BSE, NSE",544026,IREDA,570,32,42.69,22.98,7.53,27.35,50,60,87.5,123.55,123.56,286.09,125.22 (291.56%),"187.70 (Feb 21, 2025)","124.10 (Feb 12, 2026)",125.22,291.56,187.7,"Feb 21, 2025",124.1,"Feb 12, 2026","1,086.16",234.37,17.59,31.64,36.42,24.58%,22.61%,24.58%,294.27,317.51,441.9,7.34,14.16,,,
Jyoti CNC Automation IPO,2024-01-09,2024-01-16,"BSE, NSE",544081,JYOTICNC,"1,000.00",331,19.08,38.31,26.48,22.59,370,434.2,31.18,827.75,827.6,150.08,827.60 (150.08%),"1,330.00 (Jun 02, 2025)","750.00 (Feb 02, 2026)",827.6,150.08,1330,"Jun 02, 2025",750,"Feb 02, 2026","1,706.07",510.53,3.35,433.43,"1,122.83",18.35%,9.50%,18.35%,205.63,213.33,821.4,1.58,0.76,0.29,59.43,
Medi Assist Healthcare IPO,2024-01-15,2024-01-23,"BSE, NSE",544088,MEDIASSIST,"1,171.58",418,16.68,14.76,3.07,11.63,460,464.1,11.03,404.25,403.45,-3.29,403.45 (-3.29%),"594.10 (Aug 12, 2025)","385.00 (Feb 03, 2026)",403.45,-3.29,594.1,"Aug 12, 2025",385,"Feb 03, 2026",802.62,312.03,45.26,38.22,31.8,,24.95%,19.63,416.64,102.03,,14.51,10.94,13.15,0,
EPACK Durable IPO,2024-01-19,2024-01-30,"BSE, NSE",544095,EPACK,640.05,230,10.89,29.06,6.44,12.06,221,207.6,-9.74,249.95,250.06,8.67,250.06 (8.67%),"421.35 (Apr 22, 2025)","216.50 (Jan 29, 2026)",250.06,8.67,421.35,"Apr 22, 2025",216.5,"Jan 29, 2026","1,071.45",616.32,2.65,56.4,415.1,14.68%,11.85%,14.68%,478.31,,369.57,2.08,4.08,0.55,4.98,
Nova AgriTech IPO,2024-01-23,2024-01-31,"BSE, NSE",544100,NOVAAGRI,143.81,41,32.51,232.54,78.22,78.51,55,57.75,40.85,29.28,29.06,-28.59,29.06 (-28.59%),"62.84 (Jul 22, 2025)","29.00 (Feb 13, 2026)",29.06,-28.59,62.84,"Jul 22, 2025",29,"Feb 13, 2026",196.37,103.24,10.38,13.05,18.27,38.27%,27.25%,32.08%,74.23,60.97,68.5,9.73,3.14,2.24,4.06,
BLS E-Services IPO,2024-01-30,2024-02-06,"BSE, NSE",544107,BLSE,309.29,135,49.54,298.02,226.49,94.98,305,366,171.11,164.35,163.73,21.74,163.73 (21.74%),"232.50 (Jun 11, 2025)","131.31 (Apr 07, 2025)",163.73,21.74,232.5,"Jun 11, 2025",131.31,"Apr 07, 2025",213.77,158.05,14.68,44.31,60.33,33.33%,30.62%,16.46%,120.37,,0,8.36,3.05,2.24,7.2,
Apeejay Surrendra Park Hotels IPO,2024-02-05,2024-02-12,"BSE, NSE",544111,PARKHOTELS,920,155,32.47,54.14,31.25,35.19,186,203.55,31.32,126.85,126.83,-18.16,126.83 (-18.16%),"174.66 (Feb 12, 2025)","116.85 (Jan 27, 2026)",126.83,-18.16,174.66,"Feb 12, 2025",116.85,"Jan 27, 2026","1,382.51",272.31,22.95,56.33,72.05,,,9.03%,578.71,561.24,597.09,,2.75,2.15,4.87,
Capital Small Finance Bank IPO,2024-02-07,2024-02-14,"BSE, NSE",544120,CAPITALSFB,523.07,468,3.4,4.11,2.62,3.23,430.25,435,-7.05,271.8,272.7,-41.92,272.70 (-41.92%),"330.65 (Jul 22, 2025)","250.00 (Jan 22, 2026)",272.7,-41.92,330.65,"Jul 22, 2025",250,"Jan 22, 2026","8,390.69",415.22,54.39,17.68,19.35,16.45%,,15.33%,711.76,676.41,572.76,,26.48,24.19,1.81,
Jana Small Finance Bank IPO,2024-02-07,2024-02-14,"BSE, NSE",544118,JSFB,570,414,16.59,26.18,5.81,13.94,396,368.15,-11.07,387.35,388.15,-6.44,388.15 (-6.44%),"552.50 (Jun 10, 2025)","338.90 (Feb 06, 2026)",388.15,-6.44,552.5,"Jun 10, 2025",338.9,"Feb 06, 2026","28,105.87","2,215.57",213.22,15.11,10.15,16.78%,,14.40%,"2,547.11","2,225.44","5,313.54",,27.4,40.77,1.28,
